satellite_a,satellite_b,norad_a,norad_b,distance_km,relative_speed_km_s,time_to_cpa_seconds,minimum_distance_km,risk,risk_score
STARLINK-38184,STARLINK-38178,100180,100201,967.1747092972984,1.1090915740246323,0.0,967.1747092972984,LOW,10
STARLINK-38112,HULIANWANG DIGUI-186,100181,100211,2122.1184987350475,10.972773154356908,172.06619369570333,968.8546736356144,LOW,10
STARLINK-38062,STARLINK-38263,100117,100264,969.943197664826,3.499333158208447,0.0,969.943197664826,LOW,10
STARLINK-37864,STARLINK-38112,100107,100181,1748.2885052512524,15.202108279928112,95.5677120681369,972.5202489460138,LOW,10
STARLINK-38120,STARLINK-38238,100120,100223,1444.2767863228164,4.282481518815221,249.10552978013578,973.5989417695829,LOW,10
STARLINK-37712,STARLINK-38104,100109,100185,7129.626331108341,12.953616283301006,545.2348214321856,974.1433230424665,LOW,10
STARLINK-37991,STARLINK-38098,100124,100164,1546.5455638494823,1.4820222550106519,810.3628075737466,974.4026436461278,LOW,10
STARLINK-38232,STARLINK-38279,100260,100262,976.2399312211768,1.119196160236767,0.569337204002977,976.2397232682513,LOW,10
STARLINK-38165,STARLINK-38232,100191,100260,1366.6524120791591,15.007414030274948,63.687784743261446,976.8348326379206,LOW,10
STARLINK-38187,STARLINK-37947,100259,100261,978.5414633610163,1.1221653430544658,1.7539582965342928,978.539483916009,LOW,10
STARLINK-38081,STARLINK-38196,100153,100200,2673.520089734914,14.946140531592945,166.43655020325122,979.6097030018108,LOW,10
STARLINK-38196,STARLINK-37947,100200,100261,980.9090790149247,15.038691225000816,3.3482472275117647,979.615828212271,LOW,10
STARLINK-38188,STARLINK-38168,100233,100251,980.5802870391491,0.9354416717922733,0.0,980.5802870391491,LOW,10
STARLINK-38079,STARLINK-38238,100165,100223,1008.1510884028509,2.5644127548835014,89.64281793545786,981.5922053022915,LOW,10
STARLINK-38175,STARLINK-38223,100161,100190,4931.016164034653,14.176670723165554,340.84434084026543,983.0204947047459,LOW,10
HULIANWANG DIGUI-178,STARLINK-38075,100203,100227,2334.034365184316,8.575947010682343,246.81183896325052,983.6306688414372,LOW,10
STARLINK-38242,STARLINK-38129,100266,100268,984.2906519609206,1.128754743033315,0.5147204552778943,984.2904804906973,LOW,10
STARLINK-38195,STARLINK-38259,100196,100252,985.5806093623147,15.064688170945091,0.0,985.5806093623147,LOW,10
STARLINK-38162,STARLINK-38227,100159,100193,9906.946476996078,10.153411918599119,970.865179574048,987.6372516364504,LOW,10
CZ-8A R/B,STARLINK-38075,100212,100227,1813.0662910141361,8.561425811680575,177.50961135287858,988.7435387752583,LOW,10
STARLINK-38118,STARLINK-38219,100108,100215,1352.1880143508988,4.307122188812568,213.96262872893294,989.5118598472498,LOW,10
STARLINK-38157,STARLINK-38280,100263,100265,990.1257676484975,1.1354903572024628,0.0,990.1257676484975,LOW,10
STARLINK-38259,STARLINK-38243,100252,100253,990.6099627456362,1.1376954346096122,1.201506383134018,990.6090196152984,LOW,10
PESSOA,STARLINK-38148,100139,100199,7813.173590917046,9.544134423129089,812.0178312497882,991.4977875168989,LOW,10
2026-168A,2026-188A,100129,100366,991.7401188281725,1.7909358355791,0.0,991.7401188281725,LOW,10
STARLINK-38112,STARLINK-38142,100181,100183,992.3168820148832,1.139452630696035,2.0809324702053678,992.3140491310313,LOW,10
STARLINK-38176,STARLINK-38226,100189,100217,1781.1557762238476,14.755439775469592,100.19326064217584,993.4094222136745,LOW,10
CZ-6A DEB,STARLINK-38130,100175,100187,5999.807961732372,13.117769305753349,451.06445737280006,993.6226275148815,LOW,10
STARLINK-38140,STARLINK-38226,100182,100217,7367.581822189851,12.230748141091425,596.8765628378181,993.8093073662109,LOW,10
STARLINK-38115,STARLINK-38224,100111,100197,3839.9142331204243,14.703478442503664,252.25782335078026,993.8610760957456,LOW,10
STARLINK-38252,STARLINK-38144,100254,100256,994.4522252428773,1.1415692746733945,0.10082061708032915,994.4522185826457,LOW,10
2026-168A,2026-188B,100129,100367,995.2391062054176,1.792972545061578,0.0,995.2391062054176,LOW,10
STARLINK-38053,STARLINK-38200,100230,100232,997.6090360493716,1.1468764373159985,0.0,997.6090360493716,LOW,10
STARLINK-38154,STARLINK-38232,100258,100260,998.6041643162669,1.1463179977574072,2.494584120495654,998.6000699748836,LOW,10
STARLINK-38252,STARLINK-38167,100254,100257,998.7236373233548,1.1460323004357502,1.9329864179430964,998.7211804852953,LOW,10
2026-168A,STARLINK-38199,100129,100218,998.9201574628484,3.989584912023989,0.0,998.9201574628484,LOW,10
2026-170B,STARLINK-38132,100144,100154,1001.2864883260119,3.534338260458026,0.0,1001.2864883260119,LOW,10
STARLINK-38144,STARLINK-38187,100256,100259,1002.6135309608867,1.1502982585338843,1.8209208283257152,1002.6113429979118,LOW,10
STARLINK-38199,2026-188A,100218,100366,1003.4212528340231,2.5565102237403345,0.0,1003.4212528340231,LOW,10
STARLINK-38280,STARLINK-38212,100265,100267,1003.5205141261689,1.1501014695681313,1.0586503184560458,1003.5197755057812,LOW,10
STARLINK-38134,STARLINK-38098,100123,100164,1556.9256749515882,1.4914869274861078,797.6061253215679,1004.4022761571886,LOW,10
STARLINK-38279,STARLINK-38263,100262,100264,1004.8802015411236,1.1510938929583243,0.8645843584637674,1004.8797087168739,LOW,10
STARLINK-37740,STARLINK-38127,100102,100155,1607.2025169563954,1.3165747832158443,951.9956094242057,1006.0591522593272,LOW,10
STARLINK-38263,STARLINK-38242,100264,100266,1006.0647877506553,1.1531516649226579,0.0,1006.0647877506553,LOW,10
STARLINK-38199,2026-188B,100218,100367,1006.3722957298932,2.5576510729494153,0.0,1006.3722957298932,LOW,10
STARLINK-38241,STARLINK-38075,100225,100227,1006.7933694517828,1.157232063377716,0.0,1006.7933694517828,LOW,10
STARLINK-38075,STARLINK-38221,100227,100248,1007.3833220291409,1.2919504318492536,0.0,1007.3833220291409,LOW,10
STARLINK-38217,STARLINK-38227,100170,100193,1129.8297263219683,15.216604006508458,33.42567195827736,1008.8684762279063,LOW,10
STARLINK-38038,STARLINK-38137,100116,100198,2049.8679556222155,15.174366487451111,117.54513104520471,1010.1829690410657,LOW,10
SPACEMOBILE-013,SPACEMOBILE-012,100240,100241,1010.7939028568574,1.114422486295394,0.0,1010.7939028568574,LOW,10
STARLINK-38241,STARLINK-38191,100225,100246,1011.3363496161052,1.401280420999754,0.0,1011.3363496161052,LOW,10
STARLINK-38136,STARLINK-38224,100166,100197,4856.621004703766,14.229513125842123,333.82118200267394,1011.5310702935483,LOW,10
STARLINK-38223,STARLINK-38187,100190,100259,2287.336755270537,14.865228359814553,137.963230802346,1012.8689369568692,LOW,10
STARLINK-37947,STARLINK-38157,100261,100263,1014.6818989213314,1.1626810623684205,1.3775132390197513,1014.6806349037275,LOW,10
TJS-27A,STARLINK-38176,100174,100189,3865.076431789385,13.97940764551046,266.7741264276633,1015.2867548294679,LOW,10
STARLINK-38233,STARLINK-38168,100249,100251,1018.0531646953227,1.1708966936477112,0.0,1018.0531646953227,LOW,10
HULIANWANG DIGUI-186,STARLINK-38157,100211,100263,6375.526654150526,6.828481708984395,921.6750776241987,1018.5371521908779,LOW,10
STARLINK-38175,STARLINK-38266,100161,100255,1158.7535832348622,1.3442003817194426,408.6327365513025,1020.2924315627912,LOW,10
STARLINK-38062,STARLINK-38095,100117,100179,10242.854983208821,9.81662515036531,1038.2212278867728,1021.1305706398485,LOW,10
STARLINK-37375,STARLINK-38053,100228,100230,1022.4609090954299,1.1761623357146118,0.0,1022.4609090954299,LOW,10
STARLINK-38246,STARLINK-38233,100247,100249,1023.4521498024939,1.1765024651666816,0.0,1023.4521498024939,LOW,10
STARLINK-38088,TJS-27A,100114,100174,1208.6113512754973,4.886474228710058,131.0597329788865,1024.989566907002,LOW,10
STARLINK-38192,STARLINK-38225,100158,100194,8532.745594563194,11.703417349014115,723.772955082623,1027.8111261386653,LOW,10
STARLINK-38195,STARLINK-38167,100196,100257,1028.3367141171198,15.043317941951173,0.0,1028.3367141171198,LOW,10
2026-170A,STARLINK-38251,100143,100229,1033.1993567831255,5.701761032710279,0.0,1033.1993567831255,LOW,10
STARLINK-38030,STARLINK-38249,100118,100221,2419.722306570329,3.6006047027130963,607.4816703306317,1034.779592865645,LOW,10
STARLINK-38200,STARLINK-38177,100232,100234,1035.1794120935563,1.1915010553016239,1.6733760987277282,1035.177491962965,LOW,10
STARLINK-38182,STARLINK-38137,100148,100198,3869.981706134204,14.636411098675056,254.77266538814078,1035.1978616124513,LOW,10
STARLINK-38222,STARLINK-37864,100101,100107,1036.1812334183244,1.180894763090581,0.0,1036.1812334183244,LOW,10
STARLINK-38212,STARLINK-38255,100267,100269,1036.4036361334213,1.189424883991283,0.0,1036.4036361334213,LOW,10
STARLINK-38225,STARLINK-38252,100194,100254,5599.4982214925885,13.648038651116984,403.1263308122343,1040.987799022934,LOW,10
STARLINK-38098,GLOBALSTAR 2-R OBJECT A,100164,100325,1041.2598936306356,7.275778333435645,0.0,1041.2598936306356,LOW,10
2026-168C,2026-168F,100131,100134,1042.1877438233096,1.142619468987816,0.0,1042.1877438233096,LOW,10
STARLINK-38161,STARLINK-38218,100106,100195,9077.814260808424,11.232165266710727,802.8374144555017,1043.8182402325501,LOW,10
STARLINK-38081,STARLINK-38165,100153,100191,3107.1398448108635,14.855043738628561,196.84190432596165,1050.7073193688454,LOW,10
STARLINK-38249,GLOBALSTAR 2-R OBJECT H,100221,100332,1053.924215949853,8.671044005052584,0.0,1053.924215949853,LOW,10
STARLINK-37712,STARLINK-38185,100109,100202,6357.290612434973,13.48635759935491,464.84455804119887,1055.476871608975,LOW,10
2026-168B,STARLINK-38199,100130,100218,1055.997340467853,3.9642455903215628,0.0,1055.997340467853,LOW,10
STARLINK-38135,2026-170E,100122,100147,1056.3455169161914,1.4062654519816293,0.0,1056.3455169161914,LOW,10
STARLINK-38225,STARLINK-38266,100194,100255,5529.0982843525,13.687438653983076,396.494995461597,1057.6335738140815,LOW,10
STARLINK-38098,STARLINK-38224,100164,100197,1058.2307911270075,15.155274781957264,0.0,1058.2307911270075,LOW,10
YINLI-1 R/B,STARLINK-38184,100138,100180,9811.449251764412,6.97240112116481,1398.9324975581258,1060.9477057018667,LOW,10
2026-170C,STARLINK-38163,100145,100250,1062.9587244581955,4.616092107043162,0.0,1062.9587244581955,LOW,10
2026-168A,STARLINK-38242,100129,100266,1067.1215659195075,5.027844566341589,0.0,1067.1215659195075,LOW,10
STARLINK-38098,STARLINK-38249,100164,100221,1614.1639044002875,1.9431758236981787,622.9506004192151,1067.805551667263,LOW,10
STARLINK-37375,STARLINK-38233,100228,100249,1067.8964208704788,1.295968597599991,0.0,1067.8964208704788,LOW,10
STARLINK-38172,STARLINK-38157,100214,100263,1068.4342245222222,1.5915471268052193,20.627394209256448,1067.9297345943507,LOW,10
STARLINK-37832,STARLINK-38188,100231,100233,1068.4435183723272,1.228477356406624,0.0,1068.4435183723272,LOW,10
STARLINK-38098,GLOBALSTAR 2-R OBJECT B,100164,100326,1069.2123948403416,7.274477310137372,0.0,1069.2123948403416,LOW,10
STARLINK-38062,STARLINK-38129,100117,100268,1070.037921818955,3.467306569608346,0.0,1070.037921818955,LOW,10
STARLINK-37712,STARLINK-38212,100109,100267,1072.2160105910616,3.3877018217366555,0.0,1072.2160105910616,LOW,10
STARLINK-38121,STARLINK-38075,100156,100227,1073.170002964446,2.011831810854219,0.0,1073.170002964446,LOW,10
STARLINK-38165,STARLINK-37947,100191,100261,1181.9472083029086,15.045176907065937,32.851083965914995,1073.6460194645995,LOW,10
STARLINK-37864,STARLINK-38142,100107,100183,1173.3338235814679,15.2908164084547,30.878708565653902,1074.1399207281827,LOW,10
CZ-6A DEB,STARLINK-38140,100175,100182,10379.82015749553,9.680931523172312,1066.404011693967,1077.1007475128133,LOW,10
STARLINK-38218,STARLINK-38154,100195,100258,1080.1669600280961,14.962656475226918,0.0,1080.1669600280961,LOW,10
2026-168B,2026-168C,100130,100131,1081.5512361606934,1.184433672162407,0.1877611810609672,1081.551213296493,LOW,10
2026-168D,2026-168E,100132,100133,1081.5661027482463,1.1854525357267869,0.0,1081.5661027482463,LOW,10
STARLINK-38044,STARLINK-38224,100115,100197,2811.8930651535575,15.034202804746092,172.6304149875136,1082.0561938649746,LOW,10
STARLINK-38159,2026-178A,100186,100237,8106.440145908472,10.149810130562575,791.5084878925875,1083.819580783817,LOW,10
STARLINK-38249,GLOBALSTAR 2-R OBJECT G,100221,100331,1085.1705980717743,8.678294291029884,0.0,1085.1705980717743,LOW,10
STARLINK-38098,STARLINK-38141,100164,100188,5376.594602248771,13.995736823473493,376.2508400375336,1085.3502774181968,LOW,10
STARLINK-38266,STARLINK-38167,100255,100257,1085.6645734088333,1.2450328004775688,8.290687297899714,1085.6155021940663,LOW,10
STARLINK-38223,STARLINK-38196,100190,100200,1086.8112135965894,1.2437918321417945,19.9340832586231,1086.5283608836576,LOW,10
STARLINK-38072,STARLINK-37947,100113,100261,1235.700026443844,3.467166383032095,168.60837136377148,1088.6713258528432,LOW,10
2026-168A,STARLINK-38212,100129,100267,1090.5407071450645,4.953182698374033,0.0,1090.5407071450645,LOW,10
TJS-27A,STARLINK-37717,100174,100226,4881.223942103013,5.919488444904516,803.6873562777682,1092.3923138399982,LOW,10
ELECTRON R/B,STARLINK-38246,100245,100247,3853.1202942835926,7.098895302761586,520.4632080372166,1093.4467384665006,LOW,10
STARLINK-38160,HULIANWANG DIGUI-183,100121,100208,9983.777702790378,3.9329823543176636,2523.1563113081165,1095.1641209700445,LOW,10
2026-168D,2026-168G,100132,100135,1096.0911172668925,1.2018012608646562,0.0,1096.0911172668925,LOW,10
2026-168G,2026-188C,100135,100368,1097.891711473712,1.128046635661927,0.0,1097.891711473712,LOW,10
PESSOA,STARLINK-38185,100139,100202,9274.674775792411,7.732314540102649,1191.0213654443123,1098.8317536138934,LOW,10
STARLINK-38149,STARLINK-38249,100169,100221,1506.362552001906,2.1771819404082717,472.29921100294354,1100.8022892864496,LOW,10
STARLINK-38159,STARLINK-38259,100186,100252,7844.009053567367,12.104057530115101,641.6273642174574,1101.4296687957542,LOW,10
STARLINK-38214,STARLINK-38224,100103,100197,2805.0278525528806,15.031373849406139,171.62172321630044,1101.4881355550579,LOW,10
2026-170C,STARLINK-38137,100145,100198,11065.74216123661,8.566672862996036,1285.2899802102006,1102.7431654853756,LOW,10
STARLINK-38174,STARLINK-38121,100104,100156,1107.6361043189147,2.057725335110178,0.0,1107.6361043189147,LOW,10
STARLINK-38113,STARLINK-38227,100112,100193,12770.868511530596,4.330134342934375,2938.177711122946,1108.0974948348276,LOW,10
STARLINK-38217,STARLINK-38228,100170,100192,1624.0440010254056,15.174625092903613,78.23155654896028,1108.2556107133262,LOW,10
STARLINK-38129,2026-188A,100268,100366,1108.2605270943209,3.407228804751324,0.0,1108.2605270943209,LOW,10
STARLINK-38098,GLOBALSTAR 2-R OBJECT C,100164,100327,1109.417823899612,7.273405468111914,0.0,1109.417823899612,LOW,10
2026-170B,STARLINK-38238,100144,100223,1374.8504675229417,5.672274118357606,143.03090973617444,1109.9500151551254,LOW,10
STARLINK-38129,2026-188B,100268,100367,1110.3916426716808,3.407581741212375,0.0,1110.3916426716808,LOW,10
TJS-27B,STARLINK-38141,100176,100188,6001.880559025311,13.163533827647516,448.0684161037873,1110.9611125983674,LOW,10
STARLINK-38227,STARLINK-37947,100193,100261,1111.3822989924881,15.009118511356348,0.0,1111.3822989924881,LOW,10
STARLINK-38223,STARLINK-38232,100190,100260,1919.7427307922462,14.951590475928729,104.62536288017729,1112.8022830516181,LOW,10
STARLINK-37712,STARLINK-38199,100109,100218,1113.5738896337025,4.237202649893273,0.0,1113.5738896337025,LOW,10
HULIANWANG DIGUI-183,ELECTRON KICK STAGE R/B,100208,100244,1250.9986197528822,2.144215369670322,265.0291971545084,1114.4755512134693,LOW,10
CZ-8A R/B,STARLINK-38246,100212,100247,1386.7488643845695,9.233551229570658,89.27975685739553,1115.1178505470714,LOW,10
STARLINK-38165,STARLINK-38219,100191,100215,1115.4468218616253,14.823101147010815,0.0,1115.4468218616253,LOW,10
HULIANWANG DIGUI-178,STARLINK-38221,100203,100248,1587.4733588044116,9.376239384116957,120.35544190217028,1116.5130169425024,LOW,10
2026-168E,2026-188B,100133,100367,1117.7147067428316,1.7410400600604408,0.0,1117.7147067428316,LOW,10
STARLINK-38249,GLOBALSTAR 2-R OBJECT F,100221,100330,1118.9723537632588,8.685369985675305,0.0,1118.9723537632588,LOW,10
STARLINK-38222,STARLINK-38142,100101,100183,1119.7156158788716,15.284763832646064,0.0,1119.7156158788716,LOW,10
STARLINK-37864,STARLINK-38150,100107,100167,1119.8426225161097,1.670770181946552,0.0,1119.8426225161097,LOW,10
2026-168E,2026-188A,100133,100366,1120.5574117068663,1.7436787580252422,0.0,1120.5574117068663,LOW,10
STARLINK-38186,CZ-8A R/B,100162,100212,1121.357420149609,9.940660890018956,0.0,1121.357420149609,LOW,10
STARLINK-38053,STARLINK-38168,100230,100251,1121.3760899837685,1.2263194440450427,0.0,1121.3760899837685,LOW,10
TJS-27B,STARLINK-38189,100176,100213,3369.558196555161,6.9714138398785845,455.56538737880214,1125.7709760385785,LOW,10
2026-170B,STARLINK-38251,100144,100229,1126.4099064406885,5.726525571312891,0.0,1126.4099064406885,LOW,10
STARLINK-38198,TJS-27A,100160,100174,2924.7694604352077,5.54018870790989,487.1439221702613,1127.111854141901,LOW,10
STARLINK-38186,ELECTRON R/B,100162,100245,2950.3447095290417,8.259983272287203,330.05991699511276,1127.7765955170223,LOW,10
STARLINK-37864,STARLINK-37207,100107,100184,1130.7879256790447,15.304371788402149,0.0,1130.7879256790447,LOW,10
STARLINK-38186,STARLINK-38246,100162,100247,1131.913053543804,1.447297904113952,0.0,1131.913053543804,LOW,10
STARLINK-38217,STARLINK-38196,100170,100200,1753.0617818726816,15.150704953781158,88.33498913159752,1132.2891542245109,LOW,10
STARLINK-38096,STARLINK-38218,100119,100195,12970.23907994502,3.459801194177923,3734.4903893929113,1133.7303456254465,LOW,10
STARLINK-38226,STARLINK-38249,100217,100221,1134.8575998763142,1.3038355765201404,19.275018289213175,1134.579297355431,LOW,10
STARLINK-38195,STARLINK-38137,100196,100198,1137.0438562838792,1.3062566130057578,0.0,1137.0438562838792,LOW,10
2026-170D,STARLINK-38152,100146,100157,1137.2002178752462,3.4142561238207967,0.0,1137.2002178752462,LOW,10
STARLINK-38249,STARLINK-38254,100221,100222,1138.566084907818,1.3042981505657087,0.41707351954292526,1138.5659549534814,LOW,10
STARLINK-38179,HULIANWANG DIGUI-186,100150,100211,4731.670715973621,8.867847283744652,517.8549850819522,1140.1165510887563,LOW,10
STARLINK-38148,STARLINK-38178,100199,100201,1141.178394588737,1.306120826454655,2.2443839623746715,1141.1746294741122,LOW,10
STARLINK-38098,GLOBALSTAR 2-R OBJECT D,100164,100328,1142.2565944510063,7.27251955518793,0.0,1142.2565944510063,LOW,10
STARLINK-38197,STARLINK-38130,100171,100187,9870.304283271837,10.232652716133652,958.1054137110742,1142.4866168062656,LOW,10
PESSOA,STARLINK-38112,100139,100181,7675.382685152008,9.70317766761067,782.2004361950762,1142.796092301147,LOW,10
STARLINK-38097,STARLINK-38212,100163,100267,1142.870483601684,1.8458572970678817,0.0,1142.870483601684,LOW,10
STARLINK-38135,HULIANWANG DIGUI-178,100122,100203,1145.1600900077817,11.237886123657441,1.0432785617287166,1145.1000715265259,LOW,10
STARLINK-38097,STARLINK-38219,100163,100215,1155.6990695582656,2.6581216748093985,51.730447954891325,1147.489645914452,LOW,10
STARLINK-38038,STARLINK-38195,100116,100196,3109.7721824686314,14.95450383941855,193.2605898141685,1148.0031316005336,LOW,10
STARLINK-38158,STARLINK-38137,100105,100198,1216.1640667560941,15.316372026980602,26.13342303703228,1148.4074107760002,LOW,10
STARLINK-38255,2026-188A,100269,100366,1150.2939539671702,3.327665036850527,0.0,1150.2939539671702,LOW,10
STARLINK-38255,2026-188B,100269,100367,1150.7129045598801,3.327235911134306,0.0,1150.7129045598801,LOW,10
STARLINK-38115,STARLINK-38044,100111,100115,1150.820371123163,1.321393592571157,0.0,1150.820371123163,LOW,10
STARLINK-38190,GLOBALSTAR 2-R OBJECT A,100219,100325,1948.1108609304952,8.544914039200169,183.86250653907203,1151.8742534538003,LOW,10
STARLINK-38081,STARLINK-38223,100153,100190,3707.697865792993,14.690128911223882,239.87183216466917,1153.3527358607398,LOW,10
STARLINK-38249,GLOBALSTAR 2-R OBJECT E,100221,100329,1158.7457247833636,8.693897718194378,0.0,1158.7457247833636,LOW,10
STARLINK-38172,STARLINK-38199,100214,100218,1161.8030206777923,1.3267547827065624,0.1940997699859124,1161.802992136813,LOW,10
STARLINK-38132,STARLINK-38163,100154,100250,1161.9093636868931,1.8364662297974685,0.0,1161.9093636868931,LOW,10
STARLINK-38132,STARLINK-38079,100154,100165,1162.2858743587901,1.333412013110055,17.404891290989056,1162.054149996065,LOW,10
STARLINK-38214,STARLINK-38088,100103,100114,1166.967564380095,1.3368643644475398,0.1899595837769734,1166.9675367483483,LOW,10
TJS-27A,STARLINK-38189,100174,100213,3954.1056885150665,6.385916347563553,591.5955385021375,1167.2948938513262,LOW,10
STARLINK-37712,STARLINK-38178,100109,100201,5131.769649232864,14.178615776097358,352.4140653966555,1169.44980880263,LOW,10
STARLINK-38196,STARLINK-38279,100200,100262,1169.5597184953533,15.03933518150467,0.0,1169.5597184953533,LOW,10
2026-170D,STARLINK-38137,100146,100198,10851.63725101845,8.917041274605994,1209.8522536459802,1170.7094370246703,LOW,10
STARLINK-38130,STARLINK-38176,100187,100189,1172.4565346050877,1.3425313341472755,1.2378346580741129,1172.455356870013,LOW,10
STARLINK-38214,STARLINK-38115,100103,100111,1173.018177416596,1.3443711602071364,0.0,1173.018177416596,LOW,10
STARLINK-38098,GLOBALSTAR 2-R OBJECT E,100164,100329,1174.0273006437214,7.271463810545129,0.0,1174.0273006437214,LOW,10
STARLINK-38121,STARLINK-38221,100156,100248,1174.1109089996623,1.559382143790963,0.0,1174.1109089996623,LOW,10
STARLINK-38127,STARLINK-38175,100155,100161,1174.7040759522838,1.34440450255174,1.9934163008383197,1174.7010189341072,LOW,10
STARLINK-38062,HULIANWANG DIGUI-186,100117,100211,5392.29373400394,9.820798848486726,535.8796607624577,1174.785939158139,LOW,10
STARLINK-38174,STARLINK-38113,100104,100112,1175.3069481674095,1.3453851830679908,0.0,1175.3069481674095,LOW,10
STARLINK-38165,STARLINK-38279,100191,100262,1175.764331087595,15.065566603835547,0.42149881012461143,1175.7471829667293,LOW,10
STARLINK-38134,TJS-27A,100123,100174,1175.8379200548482,4.9346903315379445,0.0,1175.8379200548482,LOW,10
STARLINK-38081,STARLINK-38217,100153,100170,1177.3110115625907,1.3453026152864278,1.1487387148733592,1177.3099972741545,LOW,10
STARLINK-37740,STARLINK-38243,100102,100253,2357.8902644441514,2.3134526992677573,882.9804600714081,1177.6613391248338,LOW,10
STARLINK-38100,STARLINK-38255,100149,100269,1178.882638583966,1.7318961652213425,0.0,1178.882638583966,LOW,10
STARLINK-38111,STARLINK-38159,100152,100186,10470.74627097658,9.400156166669547,1106.7828497288742,1180.9886149160702,LOW,10
STARLINK-38190,GLOBALSTAR 2-R OBJECT B,100219,100326,1950.7101423305855,8.555439781692936,181.09227546486758,1185.2700214373797,LOW,10
2026-168A,STARLINK-38172,100129,100214,1185.4975740564068,4.203490889214326,0.0,1185.4975740564068,LOW,10
STARLINK-38088,STARLINK-38044,100114,100115,1186.9859975452973,1.3613261967270047,16.563036396788004,1186.7718229732561,LOW,10
STARLINK-38249,GLOBALSTAR 2-R OBJECT D,100221,100328,1187.1373615652126,8.700235485514384,0.0,1187.1373615652126,LOW,10
TJS-27B,STARLINK-38226,100176,100217,2270.558198221228,7.273745769323837,265.61360168222535,1192.8068057307225,LOW,10
STARLINK-37991,TJS-27A,100124,100174,1192.855589873141,4.939387682864539,0.0,1192.855589873141,LOW,10
STARLINK-38130,STARLINK-38190,100187,100219,4329.555887535725,14.065141280170089,295.86426471722683,1195.0027516556902,LOW,10
STARLINK-38219,STARLINK-38232,100215,100260,1204.1760114132735,1.67917814349708,86.20482884392516,1195.4440007343512,LOW,10
STARLINK-38127,STARLINK-38225,100155,100194,7448.562896832226,12.670411481638247,580.2447344878447,1195.8570733192032,LOW,10
STARLINK-38217,STARLINK-38165,100170,100191,2147.1874146642635,15.104815623402168,118.01923751063669,1196.8881801796654,LOW,10
STARLINK-38127,STARLINK-38167,100155,100257,1308.4714813671408,1.3133201496326055,401.88519586233434,1197.2972202879464,LOW,10
ELECTRON R/B,STARLINK-38163,100245,100250,4856.385201587582,6.337300544887559,742.6272768855802,1198.1932310494897,LOW,10
STARLINK-38217,STARLINK-37947,100170,100261,1226.4841614938882,1.8047754753576286,144.72252248708162,1198.3498301826635,LOW,10
STARLINK-38159,STARLINK-38167,100186,100257,7467.081976900601,12.434344078450868,592.7345500443828,1198.5416270688193,LOW,10
STARLINK-38096,STARLINK-37721,100119,100220,1222.02411824668,4.5405512513589334,50.44183529754623,1200.369314944258,LOW,10
STARLINK-38121,STARLINK-38152,100156,100157,1200.6967590198972,1.375006683728496,0.0,1200.6967590198972,LOW,10
STARLINK-38228,STARLINK-38279,100192,100262,1203.866602677024,15.03907596524339,0.0,1203.866602677024,LOW,10
CZ-8A R/B,STARLINK-37832,100212,100231,1211.5266048803635,8.70239967797906,14.556387767073343,1204.8858995624362,LOW,10
STARLINK-38088,STARLINK-38224,100114,100197,1876.210812607072,15.243411026709968,94.34416537886489,1204.9722234064116,LOW,10
STARLINK-38223,STARLINK-37947,100190,100261,1635.3410490865517,15.015059369091878,73.559065641266,1205.9991418420918,LOW,10
STARLINK-38113,STARLINK-38164,100112,100224,1208.0398954229322,4.237377335301978,0.0,1208.0398954229322,LOW,10
STARLINK-38196,STARLINK-38219,100200,100215,1209.4728660270996,14.783362098577935,0.0,1209.4728660270996,LOW,10
PESSOA,STARLINK-38219,100139,100215,3824.134344523528,10.1525939377768,357.3262039658777,1209.611005425706,LOW,10
2026-168B,STARLINK-38212,100130,100267,1210.1185643352312,4.9396080410403105,0.0,1210.1185643352312,LOW,10
2026-170A,STARLINK-38238,100143,100223,1437.541457310112,5.704117842007123,135.8940409899857,1210.644126209141,LOW,10
STARLINK-38162,STARLINK-38218,100159,100195,8672.624732909122,11.593170032041987,740.725531602446,1213.1442256804369,LOW,10
STARLINK-38120,STARLINK-38254,100120,100222,1989.6283109677229,4.096067807282652,384.94712926550255,1213.4325782238416,LOW,10
STARLINK-38142,STARLINK-38148,100183,100199,1213.6924497858734,1.3903099903073697,0.0,1213.6924497858734,LOW,10
STARLINK-38135,STARLINK-38186,100122,100162,1218.254922987881,1.714401264769408,0.0,1218.254922987881,LOW,10
STARLINK-38249,GLOBALSTAR 2-R OBJECT C,100221,100327,1218.3310241549507,8.706668449929717,0.0,1218.3310241549507,LOW,10
STARLINK-38098,GLOBALSTAR 2-R OBJECT F,100164,100330,1220.994093025801,7.270772853582497,0.0,1220.994093025801,LOW,10
PESSOA,STARLINK-38279,100139,100262,3777.221612691026,9.391549100575878,380.4953537607235,1223.8970459012933,LOW,10
HULIANWANG DIGUI-186,STARLINK-38212,100211,100267,5298.146806191579,7.638688555614378,674.7538529654406,1226.4688920988774,LOW,10
STARLINK-38225,STARLINK-38144,100194,100256,4764.091522697203,14.096855470552946,326.51011839578763,1229.2736302941275,LOW,10
STARLINK-38141,STARLINK-37717,100188,100226,8349.834937320411,11.394459588937796,724.8015902165849,1230.1411745504138,LOW,10
STARLINK-38159,STARLINK-38225,100186,100194,1231.4477636728984,1.4090350387746993,18.155604614341318,1231.182018190044,LOW,10
